round,gp,pred_p1,actual_p1,p1_hit,top10_hits,top10_hit_rate,pred_top10,actual_top10,error
1,Australian Grand Prix,NOR,NOR,1,6,0.6,"NOR,PIA,LEC,VER,GAS,HAM,ALB,DOO,HAD,TSU","NOR,VER,RUS,ANT,ALB,STR,HUL,LEC,PIA,HAM",
2,Chinese Grand Prix,NOR,PIA,0,6,0.6,"NOR,PIA,RUS,HAM,HAD,LEC,VER,ANT,OCO,TSU","PIA,NOR,RUS,VER,OCO,ANT,ALB,BEA,STR,SAI",
3,Japanese Grand Prix,NOR,VER,0,9,0.9,"NOR,PIA,VER,RUS,LEC,HAD,HAM,ANT,ALB,GAS","VER,NOR,PIA,LEC,RUS,ANT,HAM,HAD,ALB,BEA",
4,Bahrain Grand Prix,PIA,PIA,1,7,0.7,"PIA,RUS,NOR,ANT,VER,GAS,HAM,SAI,TSU,HAD","PIA,RUS,NOR,LEC,HAM,VER,GAS,OCO,TSU,BEA",
5,Saudi Arabian Grand Prix,HAM,PIA,0,9,0.9,"HAM,ANT,PIA,NOR,RUS,VER,SAI,LEC,TSU,ALB","PIA,VER,LEC,NOR,RUS,ANT,HAM,SAI,ALB,HAD",
6,Miami Grand Prix,VER,PIA,0,9,0.9,"VER,NOR,PIA,ANT,RUS,ALB,SAI,OCO,LEC,TSU","PIA,NOR,RUS,VER,ALB,ANT,LEC,HAM,SAI,TSU",
7,Emilia Romagna Grand Prix,PIA,VER,0,9,0.9,"PIA,ALB,NOR,VER,STR,SAI,HAM,HAD,LEC,RUS","VER,NOR,PIA,HAM,ALB,LEC,RUS,SAI,HAD,TSU",
8,Monaco Grand Prix,VER,NOR,0,6,0.6,"VER,HAM,ALO,RUS,TSU,OCO,NOR,LEC,ANT,PIA","NOR,LEC,PIA,VER,HAM,HAD,OCO,LAW,ALB,SAI",
9,Spanish Grand Prix,VER,PIA,0,9,0.9,"VER,PIA,NOR,RUS,ANT,HAM,LEC,HAD,GAS,ALO","PIA,NOR,LEC,RUS,HUL,HAM,HAD,GAS,ALO,VER",
10,Canadian Grand Prix,ALB,RUS,0,5,0.5,"ALB,PIA,COL,NOR,RUS,VER,ANT,TSU,HAD,OCO","RUS,VER,ANT,PIA,LEC,HAM,ALO,HUL,OCO,SAI",
11,Austrian Grand Prix,NOR,NOR,1,7,0.7,"NOR,PIA,ALO,LEC,RUS,VER,BOR,HAM,BEA,ANT","NOR,PIA,LEC,HAM,RUS,LAW,ALO,BOR,HUL,OCO",
12,British Grand Prix,NOR,NOR,1,7,0.7,"NOR,PIA,VER,RUS,HUL,TSU,ANT,ALO,ALB,LEC","NOR,PIA,HUL,HAM,VER,GAS,STR,ALB,ALO,RUS",
13,Belgian Grand Prix,NOR,PIA,0,7,0.7,"NOR,PIA,VER,TSU,LEC,RUS,ALB,HAD,LAW,OCO","PIA,NOR,LEC,VER,RUS,ALB,HAM,LAW,BOR,GAS",
14,Hungarian Grand Prix,STR,NOR,0,9,0.9,"STR,PIA,NOR,HAD,ALO,LEC,LAW,VER,BOR,RUS","NOR,PIA,RUS,LEC,ALO,BOR,STR,LAW,VER,ANT",
15,Dutch Grand Prix,PIA,PIA,1,5,0.5,"PIA,NOR,VER,ALO,RUS,HAM,LEC,BOR,LAW,TSU","PIA,VER,HAD,RUS,ALB,BEA,STR,ALO,TSU,OCO",
16,Italian Grand Prix,NOR,VER,0,8,0.8,"NOR,VER,PIA,SAI,BOR,TSU,LEC,HAM,RUS,ALB","VER,NOR,PIA,LEC,RUS,HAM,ALB,BOR,ANT,HAD",
17,Azerbaijan Grand Prix,HAD,VER,0,9,0.9,"HAD,HAM,TSU,OCO,SAI,LEC,ANT,LAW,VER,RUS","VER,RUS,SAI,ANT,LAW,TSU,NOR,HAM,LEC,HAD",
18,Singapore Grand Prix,PIA,RUS,0,6,0.6,"PIA,ALB,SAI,NOR,OCO,VER,HUL,HAD,ALO,LEC","RUS,VER,NOR,PIA,ANT,LEC,ALO,HAM,BEA,SAI",
19,United States Grand Prix,LEC,VER,0,7,0.7,"LEC,NOR,VER,HAM,ANT,RUS,PIA,BEA,SAI,LAW","VER,NOR,LEC,HAM,PIA,RUS,TSU,HUL,BEA,ALO",
20,Mexico City Grand Prix,HAM,NOR,0,7,0.7,"HAM,PIA,SAI,VER,BEA,RUS,ANT,LEC,TSU,HAD","NOR,LEC,VER,BEA,PIA,ANT,RUS,HAM,OCO,BOR",
21,São Paulo Grand Prix,GAS,NOR,0,6,0.6,"GAS,COL,BEA,LAW,NOR,PIA,HUL,STR,ALO,BOR","NOR,ANT,VER,RUS,PIA,BEA,LAW,HAD,HUL,GAS",
22,Las Vegas Grand Prix,NOR,VER,0,5,0.5,"NOR,SAI,ALO,HAD,BEA,LAW,RUS,GAS,PIA,ANT","VER,RUS,ANT,LEC,SAI,HAD,HUL,HAM,OCO,BEA",
23,Qatar Grand Prix,PIA,VER,0,8,0.8,"PIA,RUS,NOR,VER,ANT,HAD,SAI,ALO,HUL,LAW","VER,PIA,SAI,NOR,ANT,RUS,ALO,LEC,LAW,TSU",
24,Abu Dhabi Grand Prix,ERROR,ERROR,0,0,0.0,,,any API: 500 calls/h
