round,gp,mae,rmse,top10_hit,weight
6,Spanish Grand Prix,1.8551434459289013,3.0944010007690044,0.9,0.15
7,Belgian Grand Prix,2.2172824886036127,3.4322867453976045,0.9,0.15
8,Italian Grand Prix,4.513134388814331,5.1414033482392645,0.8,0.15
9,Tuscan Grand Prix,4.25987256790338,5.228700968303732,0.6,0.15
10,Russian Grand Prix,3.48122754610496,4.5262465898717705,0.8,0.15
11,Eifel Grand Prix,5.512414514849536,6.83457632765939,0.6,0.15
12,Portuguese Grand Prix,2.5367616201602514,3.2682129692714015,0.8,0.15
13,Emilia Romagna Grand Prix,4.77321630795464,6.162443882659008,0.7,0.15
14,Turkish Grand Prix,4.338689808753118,5.264487173523483,0.6,0.15
15,Bahrain Grand Prix,3.223323781709567,4.416268840612146,0.8,0.15
16,Sakhir Grand Prix,4.550445969535932,6.052520404811514,0.7,0.15
17,Abu Dhabi Grand Prix,2.562961158799447,3.487018695604255,0.7,0.15
