weight,mae,rmse,top10_hit,rounds
0.0,4.2,5.588354567152306,0.74,5
0.05,4.209186020907781,5.487536824801282,0.74,5
0.1,4.222575902200302,5.407877967707312,0.74,5
0.15,4.243863853300451,5.35006075573772,0.74,5
0.2,4.278188950653271,5.314244606979609,0.74,5
0.25,4.341055713117294,5.300116593794103,0.74,5
0.3,4.416255685022195,5.307009318231863,0.74,5
0.35,4.4922982991925595,5.334035278744969,0.74,5
0.4,4.568340913362926,5.380198436662654,0.74,5
0.45,4.644383527533293,5.4444682876698,0.74,5
0.5,4.7214541232267235,5.525820626689176,0.74,5
0.55,4.810406309262623,5.623256349752736,0.74,5
0.6,4.926700302716246,5.735808726975842,0.76,5
0.65,5.05150626649141,5.862545882537101,0.76,5
0.7,5.183160594683057,6.002571838292902,0.78,5
0.75,5.314814922874704,6.155027357770143,0.78,5
0.8,5.451115361452481,6.319090816047017,0.7600000000000001,5
0.85,5.5894158129698,6.493978983464163,0.74,5
0.9,5.733499096085671,6.678947582641288,0.74,5
0.95,5.879716177091375,6.873291543753443,0.72,5
1.0,6.026017028517238,7.076344946819077,0.6799999999999999,5
